year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1971,0.5795274725274725,0.5550736263736264,4.912087912087912,-10.655153846153851,0.6923076923076923,0.051537362637362645,0.40757252747252726,0.029318393186813178,0.18294285714285716,0.693087912087912,117.29554945054946,210950.0,3.9450549450549453
1972,0.5840744680851063,0.5331085106382978,5.414893617021277,-10.936117021276594,0.7340425531914894,0.05702340425531913,0.4411372340425531,0.044509700744680865,0.19306170212765958,0.6587340425531917,118.65196808510635,214846.05319148937,3.9468085106382977
1973,0.5754565217391306,0.5624347826086954,5.25,-10.631608695652174,0.6956521739130435,0.06054347826086958,0.35728228260869566,0.07729697934782609,0.18573043478260864,0.6977282608695653,122.1631195652174,253062.39130434784,3.9130434782608696
1974,0.590483870967742,0.5780537634408603,5.623655913978495,-10.598419354838706,0.8172043010752689,0.052747311827957,0.4000463978494623,0.04531843731182796,0.19209569892473116,0.6732677419354838,118.10015053763443,240004.4516129032,3.935483870967742
1975,0.5846979166666665,0.5629062500000002,5.0,-10.525822916666664,0.8229166666666666,0.04269062499999999,0.3566469177083333,0.05879585822916667,0.18781979166666674,0.6527395833333334,115.68037499999998,231544.04166666666,3.9583333333333335
1976,0.60925,0.6141145833333332,4.96875,-10.034833333333333,0.7291666666666666,0.052380208333333345,0.30535125000000013,0.052478791666666656,0.166671875,0.7004270833333334,118.19476041666663,251370.8125,3.9583333333333335
1977,0.5809565217391303,0.57625,5.043478260869565,-10.225891304347826,0.7391304347826086,0.04475000000000002,0.3307040217391303,0.029444199456521748,0.16065108695652172,0.6216086956521739,120.29902173913045,237490.95652173914,3.9239130434782608
1978,0.6138958333333332,0.5517854166666664,5.447916666666667,-10.416666666666666,0.7083333333333334,0.045505208333333325,0.30283718750000005,0.01717444645833333,0.1696302083333332,0.6274843750000001,114.60114583333332,260447.11458333334,3.9479166666666665
1979,0.6409456521739133,0.6056195652173916,4.728260869565218,-10.407771739130435,0.6956521739130435,0.04492391304347825,0.23522284782608682,0.03830674728260869,0.17383913043478255,0.7017641304347826,120.24428260869563,258879.65217391305,3.989130434782609
1980,0.6202111111111113,0.5513933333333333,4.833333333333333,-10.804266666666667,0.7444444444444445,0.044942222222222224,0.31118895999999985,0.04072837044444444,0.1297455555555555,0.6460544444444444,125.48754444444447,250551.34444444443,3.966666666666667
1981,0.6076979166666666,0.54725,5.25,-10.431635416666664,0.7604166666666666,0.04026666666666665,0.29318765624999993,0.018585297083333337,0.15593541666666674,0.5888989583333332,120.25765624999997,241849.82291666666,3.96875
1982,0.6157010309278348,0.5944020618556701,4.948453608247423,-9.906618556701032,0.7319587628865979,0.039714432989690726,0.2789909072164949,0.01721447412371134,0.19241443298969066,0.6516247422680415,124.48041237113398,233325.37113402062,3.9690721649484537
1983,0.643278350515464,0.633958762886598,5.164948453608248,-9.430195876288657,0.6701030927835051,0.04670309278350515,0.2225582268041238,0.023745348144329905,0.16140515463917524,0.6391061855670103,120.94825773195872,257541.0206185567,4.010309278350515
1984,0.653,0.6905157894736843,5.410526315789474,-8.634105263157894,0.6421052631578947,0.04860210526315788,0.1659877157894737,0.007295167578947369,0.20413684210526317,0.6957178947368418,123.8298,257079.91578947369,3.9894736842105263
1985,0.6553749999999999,0.6572708333333334,5.4375,-9.51666666666667,0.6770833333333334,0.041615624999999996,0.21102940624999997,0.03270113833333334,0.14936979166666672,0.6762187500000002,116.97994791666667,267147.875,3.9895833333333335
1986,0.6471063829787232,0.6508297872340427,4.946808510638298,-9.991202127659568,0.6914893617021277,0.04202446808510639,0.19878521276595745,0.033856699787234046,0.14733510638297875,0.6601329787234044,117.0349574468085,271451.91489361704,4.0
1987,0.6388125000000001,0.6570312500000001,5.125,-10.227781249999994,0.7395833333333334,0.04191562499999999,0.20353949999999996,0.025151326562499993,0.13294270833333338,0.6418229166666667,121.97121874999998,258988.41666666666,4.0
1988,0.6360879120879118,0.667164835164835,4.8901098901098905,-9.457417582417586,0.7582417582417582,0.044207692307692295,0.19892009890109894,0.011996428571428571,0.15854175824175826,0.6342747252747252,118.41384615384611,263230.71428571426,3.978021978021978
1989,0.619265957446808,0.6658085106382978,5.574468085106383,-9.301851063829787,0.6914893617021277,0.04678191489361702,0.20041154255319146,0.023305302978723415,0.14806276595744672,0.5839255319148937,120.69186170212758,269684.0319148936,3.978723404255319
1990,0.6519148936170212,0.6681595744680849,4.957446808510638,-9.165893617021277,0.7021276595744681,0.051410638297872326,0.1655358617021276,0.022030715106382978,0.1637702127659574,0.6163308510638298,116.86995744680854,277441.0319148936,3.978723404255319
1991,0.6213820224719101,0.6439101123595505,4.842696629213483,-9.809471910112357,0.7191011235955056,0.05148426966292136,0.1932901685393259,0.0357724915730337,0.1761921348314607,0.5955483146067416,117.97964044943825,265365.6404494382,3.9775280898876404
1992,0.6381276595744683,0.6281382978723405,5.361702127659575,-9.297170212765957,0.6170212765957447,0.062072340425531926,0.17700173404255318,0.020692974893617017,0.17859468085106384,0.5627404255319151,120.39047872340426,279569.6808510638,3.9680851063829787
1993,0.6527608695652171,0.6114782608695651,5.260869565217392,-9.781923913043478,0.6956521739130435,0.07011521739130436,0.18909979347826084,0.033764846195652176,0.2023369565217391,0.541945652173913,113.3566304347826,267325.52173913043,3.967391304347826
1994,0.6431413043478261,0.6063695652173913,5.858695652173913,-8.68513043478261,0.6847826086956522,0.0702358695652174,0.20790793478260863,0.009365876630434785,0.18055108695652175,0.5347065217391304,119.80133695652172,269577.95652173914,3.9456521739130435
