year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1971,0.5796263736263736,0.5566340659340661,4.835164835164835,-10.608417582417587,0.6923076923076923,0.051571428571428574,0.4051879120879119,0.029328173406593397,0.1831791208791209,0.6916813186813185,117.29919780219781,210955.63736263735,3.9450549450549453
1972,0.5843085106382978,0.5322255319148935,5.414893617021277,-10.964808510638294,0.7340425531914894,0.05640957446808509,0.44028617021276584,0.04451049595744681,0.1926042553191489,0.6587659574468087,118.65194680851059,214877.96808510637,3.9468085106382977
1973,0.5754565217391306,0.5624347826086954,5.25,-10.631608695652174,0.6956521739130435,0.06054347826086958,0.35728228260869566,0.07729697934782609,0.18573043478260864,0.6977282608695653,122.1631195652174,253062.39130434784,3.9130434782608696
1974,0.5901612903225807,0.5784301075268818,5.623655913978495,-10.597290322580642,0.8172043010752689,0.052743010752688176,0.39843349462365596,0.04531848999999999,0.19286989247311825,0.6731709677419354,118.11118279569897,239999.13978494622,3.935483870967742
1975,0.5845520833333332,0.5628750000000001,5.0,-10.52077083333333,0.8229166666666666,0.042671875,0.35571566770833324,0.05872950822916667,0.1883770833333334,0.6522604166666667,115.67702083333332,230228.35416666666,3.9583333333333335
1976,0.60925,0.6141145833333332,4.96875,-10.034833333333333,0.7291666666666666,0.052380208333333345,0.30535125000000013,0.052478791666666656,0.166671875,0.7004270833333334,118.19476041666663,251370.8125,3.9583333333333335
1977,0.5808043478260868,0.5773913043478263,4.978260869565218,-10.234717391304349,0.7391304347826086,0.044801086956521755,0.32825945652173905,0.02933555891304349,0.15830217391304344,0.6188315217391305,119.69248913043481,240172.40217391305,3.9239130434782608
1978,0.6137083333333332,0.5523479166666664,5.520833333333333,-10.33990625,0.7083333333333334,0.04555104166666665,0.29999864583333335,0.01717426708333333,0.17015312499999988,0.6270885416666668,114.64564583333333,260018.09375,3.9479166666666665
1979,0.6423695652173916,0.6097173913043481,4.804347826086956,-10.379260869565218,0.6956521739130435,0.044960869565217394,0.23323393478260854,0.03830948423913043,0.17628478260869565,0.7077967391304346,120.52561956521737,258410.20652173914,3.989130434782609
1980,0.6192444444444445,0.5541933333333333,4.933333333333334,-10.727666666666666,0.7333333333333333,0.04501444444444446,0.3064478488888888,0.04139477266666667,0.13224888888888886,0.6439322222222222,125.50578888888893,250194.9111111111,3.966666666666667
1981,0.609103092783505,0.5454845360824743,5.257731958762887,-10.4780824742268,0.7525773195876289,0.040258762886597924,0.29510324742268035,0.018394094020618562,0.15694639175257738,0.590003092783505,119.95719587628862,241924.0824742268,3.9690721649484537
1982,0.6154123711340204,0.5957525773195876,4.896907216494846,-9.872536082474227,0.7319587628865979,0.039602061855670105,0.27995173195876294,0.01727789268041237,0.19185773195876285,0.6517278350515466,124.47694845360822,233440.7525773196,3.9690721649484537
1983,0.641896907216495,0.6358247422680413,5.092783505154639,-9.367216494845358,0.6701030927835051,0.046613402061855665,0.22420771134020626,0.023745323298969077,0.1633567010309278,0.6358484536082473,120.96389690721647,257604.40206185568,4.010309278350515
1984,0.6530842105263158,0.6893789473684211,5.410526315789474,-8.634505263157894,0.6421052631578947,0.048677894736842094,0.16703508421052632,0.007242103368421053,0.20666842105263158,0.6948021052631577,123.8299789473684,255905.91578947369,3.9894736842105263
1985,0.6553749999999999,0.6572708333333334,5.4375,-9.51666666666667,0.6770833333333334,0.041615624999999996,0.21102940624999997,0.03270113833333334,0.14936979166666672,0.6762187500000002,116.97994791666667,267147.875,3.9895833333333335
1986,0.6471063829787232,0.6508297872340427,4.946808510638298,-9.991202127659568,0.6914893617021277,0.04202446808510639,0.19878521276595745,0.033856699787234046,0.14733510638297875,0.6601329787234044,117.0349574468085,271451.91489361704,4.0
1987,0.63903125,0.6563333333333333,5.145833333333333,-10.262333333333329,0.7291666666666666,0.041841666666666666,0.2028453333333333,0.02660793927083333,0.13283750000000003,0.6417291666666667,121.97784374999998,260193.14583333334,4.0
1988,0.6360879120879118,0.667175824175824,4.8901098901098905,-9.457417582417586,0.7582417582417582,0.044207692307692295,0.19890910989010993,0.011996604395604396,0.15854175824175826,0.6342747252747252,118.41380219780217,263230.71428571426,3.978021978021978
